@relation Dataset_persona_comas_res

@attribute Zona {Urbana,Rural}
@attribute Sexo {Hombre,Mujer}
@attribute Edad numeric
@attribute 'Estado Civil' numeric
@attribute Pueblo numeric
@attribute 'Nivel edu' numeric
@attribute Matricula {no,si}
@attribute 'Prox Nivel ed' numeric

@data
Urbana,Mujer,63,1,2,22,no,0
Urbana,Hombre,56,2,1,23,no,0
Urbana,Mujer,56,2,1,21,no,0
Urbana,Mujer,26,3,1,72,no,0
Urbana,Hombre,1,1,2,0,no,0
Urbana,Mujer,45,1,1,72,no,0
Urbana,Hombre,23,1,2,72,si,72
Urbana,Mujer,80,6,1,21,no,0
Urbana,Mujer,70,1,2,21,no,0
Urbana,Mujer,30,1,2,72,si,72
Urbana,Hombre,7,1,2,41,si,41
Urbana,Hombre,42,2,2,23,no,0
Urbana,Mujer,38,2,2,32,no,0
Urbana,Mujer,18,1,2,42,si,72
Urbana,Mujer,15,1,2,42,si,42
Urbana,Hombre,42,2,2,23,no,0
Urbana,Mujer,41,2,2,23,no,0
Urbana,Mujer,21,1,2,72,si,72
Urbana,Hombre,18,1,2,42,si,72
Urbana,Hombre,63,2,2,21,no,0
Urbana,Hombre,72,6,2,21,no,0
Urbana,Mujer,40,4,2,23,no,0
Urbana,Mujer,16,1,2,42,si,42
Urbana,Mujer,13,1,2,42,si,42
Urbana,Hombre,65,2,2,23,no,0
Urbana,Mujer,63,2,2,21,no,0
Urbana,Mujer,42,2,1,23,no,0
Urbana,Hombre,62,2,1,77,no,0
Urbana,Mujer,61,2,1,23,no,0
Urbana,Hombre,44,2,2,72,si,72
Urbana,Mujer,43,2,2,77,no,0
Urbana,Mujer,20,1,2,72,si,72
Urbana,Mujer,16,1,2,42,si,42
Urbana,Hombre,51,2,1,72,no,0
Urbana,Mujer,38,2,1,32,no,0
Urbana,Hombre,21,1,2,42,si,72
Urbana,Hombre,17,1,2,42,si,42
Urbana,Mujer,7,1,2,41,si,41
Urbana,Mujer,1,1,2,0,no,0
Urbana,Hombre,65,2,1,23,no,0
Urbana,Mujer,63,2,1,21,no,0
Urbana,Hombre,20,1,2,42,si,72
Urbana,Mujer,65,6,1,21,no,0
Urbana,Hombre,39,1,1,72,si,72
Urbana,Mujer,25,1,1,72,si,72
Urbana,Mujer,36,1,2,72,no,0
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,62,6,1,21,no,0
Urbana,Hombre,28,3,2,32,no,0
Urbana,Mujer,21,3,1,42,no,0
Urbana,Hombre,56,2,2,77,no,0
Urbana,Mujer,55,2,2,77,no,0
Urbana,Mujer,33,1,2,71,no,0
Urbana,Mujer,23,1,2,72,si,72
Urbana,Mujer,17,1,2,42,si,42
Urbana,Hombre,50,2,2,23,no,0
Urbana,Mujer,49,2,2,23,no,0
Urbana,Hombre,22,1,2,77,no,0
Urbana,Mujer,20,1,2,42,no,0
Urbana,Mujer,14,1,2,42,si,42
Urbana,Hombre,2,1,2,0,no,0
Urbana,Hombre,44,2,1,23,no,0
Urbana,Mujer,39,2,1,31,no,0
Urbana,Hombre,19,1,2,42,si,42
Urbana,Mujer,14,1,2,42,si,42
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,76,6,1,11,no,0
Urbana,Hombre,41,2,1,23,no,0
Urbana,Mujer,40,2,1,23,no,0
Urbana,Mujer,21,1,2,72,si,72
Urbana,Hombre,13,1,2,41,si,42
Urbana,Mujer,23,1,1,72,si,72
Urbana,Mujer,33,3,1,32,no,0
Urbana,Hombre,35,3,1,32,no,0
Urbana,Mujer,14,1,2,42,si,42
Urbana,Hombre,12,1,2,41,si,41
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,41,3,1,32,no,0
Urbana,Mujer,34,3,1,31,no,0
Urbana,Mujer,16,1,2,42,si,42
Urbana,Mujer,11,1,2,41,si,41
Urbana,Hombre,6,1,2,13,si,41
Urbana,Hombre,72,6,1,21,no,0
Urbana,Mujer,45,6,1,21,no,0
Urbana,Mujer,24,1,2,72,si,72
Urbana,Mujer,23,1,2,77,no,0
Urbana,Hombre,19,1,2,72,si,72
Urbana,Hombre,14,1,2,42,si,42
Urbana,Hombre,12,1,2,41,si,41
Urbana,Hombre,7,1,2,41,si,41
Urbana,Hombre,47,2,2,72,no,0
Urbana,Mujer,45,2,2,23,no,0
Urbana,Hombre,25,1,2,72,si,72
Urbana,Mujer,23,1,2,32,si,77
Urbana,Hombre,20,1,2,42,no,0
Urbana,Hombre,20,3,1,42,no,0
Urbana,Mujer,23,3,1,42,no,0
Urbana,Hombre,2,1,1,0,no,0
Urbana,Mujer,0,1,1,0,no,0
Urbana,Hombre,63,2,1,21,no,0
Urbana,Mujer,63,2,1,21,no,0
Urbana,Mujer,43,1,1,77,no,0
Urbana,Hombre,39,2,2,32,no,0
Urbana,Mujer,39,2,2,32,no,0
Urbana,Mujer,19,1,2,42,si,77
Urbana,Mujer,17,1,2,42,si,42
Urbana,Hombre,15,1,2,42,si,42
Urbana,Mujer,13,1,2,41,si,42
Urbana,Mujer,2,1,2,0,no,0
Urbana,Mujer,4,1,2,11,no,0
Urbana,Mujer,48,6,1,21,no,0
Urbana,Hombre,21,1,1,72,si,72
Urbana,Hombre,14,1,2,42,si,42
Urbana,Mujer,12,1,2,41,si,42
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,38,1,1,32,no,0
Urbana,Hombre,16,1,2,42,si,42
Urbana,Mujer,62,6,1,21,no,0
Urbana,Hombre,31,1,2,72,no,0
Urbana,Mujer,29,1,2,72,no,0
Urbana,Mujer,25,1,2,72,si,72
Urbana,Hombre,51,2,2,21,no,0
Urbana,Mujer,54,2,1,21,no,0
Urbana,Hombre,22,1,2,72,si,72
Urbana,Hombre,20,1,2,72,si,72
Urbana,Mujer,18,1,2,42,si,42
Urbana,Mujer,17,1,2,42,si,42
Urbana,Hombre,44,3,1,23,no,0
Urbana,Mujer,43,3,2,22,no,0
Urbana,Hombre,27,2,2,32,no,0
Urbana,Mujer,23,2,2,42,no,0
Urbana,Mujer,2,1,2,0,no,0
Urbana,Mujer,30,1,2,32,no,0
Urbana,Mujer,7,1,2,41,si,41
Urbana,Hombre,68,2,2,23,no,0
Urbana,Mujer,62,2,2,11,no,0
Urbana,Hombre,24,3,2,42,no,0
Urbana,Mujer,22,3,2,42,no,0
Urbana,Hombre,65,4,2,23,no,0
Urbana,Hombre,20,3,1,42,no,0
Urbana,Mujer,18,3,1,42,no,0
Urbana,Mujer,18,1,1,42,no,0
Urbana,Mujer,11,1,1,41,si,41
Urbana,Hombre,28,3,1,32,no,0
Urbana,Mujer,28,3,1,32,no,0
Urbana,Mujer,6,1,1,13,si,41
Urbana,Hombre,3,1,1,0,no,0
Urbana,Mujer,2,1,1,0,no,0
Urbana,Mujer,0,1,1,0,no,0
Urbana,Hombre,55,2,1,23,no,0
Urbana,Mujer,46,2,1,23,no,0
Urbana,Hombre,21,1,1,72,si,72
Urbana,Mujer,15,1,1,42,si,42
Urbana,Hombre,22,3,1,42,no,0
Urbana,Mujer,22,3,1,42,no,0
Urbana,Mujer,6,1,1,13,si,13
Urbana,Mujer,2,1,1,0,no,0
Urbana,Hombre,49,2,2,32,no,0
Urbana,Mujer,42,2,2,52,no,0
Urbana,Mujer,16,1,2,42,si,42
Urbana,Mujer,52,1,2,21,no,0
Urbana,Hombre,12,1,2,41,si,41
Urbana,Hombre,32,3,2,32,no,0
Urbana,Mujer,30,3,2,32,no,0
Urbana,Mujer,10,1,2,41,si,41
Urbana,Mujer,9,1,2,41,si,41
Urbana,Hombre,7,1,2,41,si,41
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,21,1,2,42,no,0
Urbana,Mujer,19,1,2,42,si,42
Urbana,Mujer,17,1,2,42,si,42
Urbana,Hombre,13,1,2,41,si,42
Urbana,Mujer,28,1,2,32,no,0
Urbana,Mujer,7,1,2,41,si,41
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,66,6,2,76,no,0
Urbana,Mujer,38,2,2,72,no,0
Urbana,Hombre,14,1,2,42,si,42
Urbana,Mujer,29,2,1,32,no,0
Urbana,Mujer,9,1,2,41,si,41
Urbana,Hombre,8,1,2,41,si,41
Urbana,Hombre,38,3,1,77,no,0
Urbana,Mujer,40,3,2,23,no,0
Urbana,Hombre,17,1,2,42,si,42
Urbana,Mujer,15,1,2,42,si,42
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,30,1,1,32,no,0
Urbana,Mujer,38,6,1,77,no,0
Urbana,Mujer,15,1,1,42,si,42
Urbana,Hombre,12,1,1,41,si,42
Urbana,Hombre,62,2,1,21,no,0
Urbana,Mujer,64,2,1,11,no,0
Urbana,Mujer,22,1,1,71,si,71
Urbana,Hombre,31,3,1,72,no,0
Urbana,Mujer,28,3,1,32,no,0
Urbana,Hombre,4,1,1,11,si,13
Urbana,Hombre,2,1,1,0,no,0
Urbana,Hombre,56,2,2,23,no,0
Urbana,Mujer,54,2,2,21,no,0
Urbana,Hombre,29,1,2,32,si,72
Urbana,Mujer,27,1,2,72,si,72
Urbana,Hombre,23,1,2,42,si,72
Urbana,Mujer,42,2,1,32,no,0
Urbana,Mujer,19,1,2,42,si,72
Urbana,Mujer,14,1,1,42,si,42
Urbana,Mujer,4,1,1,11,si,13
Urbana,Hombre,1,1,1,0,no,0
Urbana,Hombre,52,2,2,22,no,0
Urbana,Mujer,43,2,2,22,no,0
Urbana,Mujer,21,1,2,72,si,72
Urbana,Mujer,19,1,2,42,si,77
Urbana,Mujer,39,2,2,72,no,0
Urbana,Hombre,12,1,2,41,si,42
Urbana,Mujer,48,6,1,23,no,0
Urbana,Hombre,8,1,1,41,si,41
Urbana,Hombre,5,1,1,11,no,0
Urbana,Hombre,44,2,1,21,no,0
Urbana,Mujer,40,2,1,21,no,0
Urbana,Mujer,22,1,1,72,si,72
Urbana,Mujer,19,1,1,77,si,77
Urbana,Mujer,14,1,1,42,si,42
Urbana,Hombre,5,1,1,11,no,0
Urbana,Mujer,3,1,1,0,no,0
Urbana,Hombre,29,2,1,71,no,0
Urbana,Mujer,25,2,1,71,no,0
Urbana,Mujer,0,1,2,0,no,0
Urbana,Hombre,36,1,1,31,no,0
Urbana,Mujer,37,6,1,31,no,0
Urbana,Hombre,19,1,2,42,no,0
Urbana,Mujer,18,1,2,42,si,42
Urbana,Hombre,15,1,2,42,si,42
Urbana,Mujer,10,1,2,41,si,41
Urbana,Mujer,3,1,2,0,no,0
Urbana,Hombre,1,1,2,0,no,0
Urbana,Hombre,37,2,1,32,no,0
Urbana,Mujer,35,2,1,32,no,0
Urbana,Mujer,10,1,2,41,si,41
Urbana,Mujer,9,1,2,41,si,41
Urbana,Hombre,36,2,2,77,no,0
Urbana,Mujer,37,2,2,77,no,0
Urbana,Mujer,8,1,2,41,si,41
Urbana,Mujer,1,1,2,0,no,0
Urbana,Hombre,37,2,2,32,no,0
Urbana,Mujer,37,2,2,32,no,0
Urbana,Hombre,14,1,2,42,si,42
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,7,1,2,41,si,41
Urbana,Mujer,2,1,2,0,no,0
Urbana,Hombre,52,2,2,22,no,0
Urbana,Mujer,43,2,2,21,no,0
Urbana,Hombre,17,1,2,42,si,42
Urbana,Hombre,14,1,2,42,si,42
Urbana,Mujer,9,1,2,41,si,41
Urbana,Mujer,7,1,2,41,si,41
Urbana,Hombre,43,2,2,22,no,0
Urbana,Mujer,34,2,2,32,no,0
Urbana,Mujer,13,1,2,41,si,42
Urbana,Hombre,11,1,2,41,si,41
Urbana,Hombre,9,1,2,41,si,41
Urbana,Mujer,7,1,2,41,si,41
Urbana,Hombre,5,1,2,11,no,0
Urbana,Hombre,49,2,2,22,no,0
Urbana,Mujer,44,2,2,21,no,0
Urbana,Hombre,33,2,1,72,no,0
Urbana,Mujer,29,2,1,11,no,0
Urbana,Hombre,9,1,2,41,si,41
Urbana,Hombre,5,1,2,11,no,0
Urbana,Hombre,29,2,2,32,no,0
Urbana,Mujer,25,2,2,32,no,0
Urbana,Hombre,7,1,2,41,si,41
Urbana,Mujer,6,1,2,13,si,41
Urbana,Hombre,4,1,2,11,no,0
Urbana,Hombre,40,1,1,21,no,0
Urbana,Hombre,23,2,2,42,no,0
Urbana,Mujer,19,2,2,42,no,0
Urbana,Mujer,1,1,2,0,no,0
Urbana,Hombre,51,2,1,23,no,0
Urbana,Mujer,35,2,1,32,no,0
Urbana,Mujer,13,1,1,42,si,42
Urbana,Mujer,11,1,1,41,si,41
Urbana,Mujer,3,1,1,0,no,0
Urbana,Mujer,1,1,1,0,no,0
Urbana,Hombre,29,3,1,32,no,0
Urbana,Mujer,26,3,1,32,no,0
Urbana,Mujer,5,1,1,11,si,13
Urbana,Mujer,2,1,2,0,no,0
Urbana,Mujer,0,1,2,0,no,0
Urbana,Mujer,63,6,1,21,no,0
Urbana,Mujer,28,4,1,32,no,0
Urbana,Hombre,11,1,1,41,si,41
Urbana,Mujer,7,1,1,41,si,41
Urbana,Hombre,50,3,1,23,no,0
Urbana,Mujer,49,3,1,22,no,0
Urbana,Hombre,8,1,1,41,si,41
Urbana,Mujer,50,2,1,72,no,0
Urbana,Hombre,55,2,1,77,no,0
Urbana,Hombre,27,1,1,72,si,72
Urbana,Mujer,25,1,1,72,si,72
Urbana,Mujer,21,1,1,42,si,72
Urbana,Hombre,56,2,2,23,no,0
Urbana,Mujer,56,2,2,23,no,0
Urbana,Mujer,22,1,2,72,si,72
Urbana,Mujer,18,1,2,42,si,42
Urbana,Hombre,15,1,2,42,si,42
Urbana,Mujer,58,2,1,23,no,0
Urbana,Mujer,30,1,2,72,no,0
Urbana,Hombre,29,1,2,72,si,72
Urbana,Hombre,23,1,2,77,no,0
Urbana,Hombre,20,1,2,42,si,72
Urbana,Hombre,27,1,2,32,no,0
Urbana,Hombre,37,3,1,31,no,0
Urbana,Mujer,45,3,1,31,no,0
Urbana,Hombre,8,1,2,41,si,41
Urbana,Hombre,41,2,2,79,no,0
Urbana,Mujer,41,2,2,23,no,0
Urbana,Hombre,17,1,2,42,si,42
Urbana,Mujer,43,4,2,71,no,0
Urbana,Hombre,24,1,2,72,si,72
Urbana,Hombre,16,1,2,42,si,42
Urbana,Mujer,61,6,1,21,no,0
Urbana,Hombre,32,4,2,32,no,0
Urbana,Hombre,29,1,2,72,si,72
Urbana,Hombre,22,1,2,72,si,72
Urbana,Mujer,25,2,2,72,si,72
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,55,2,2,23,no,0
Urbana,Mujer,49,2,1,22,no,0
Urbana,Mujer,22,1,2,72,si,72
Urbana,Mujer,36,4,1,31,no,0
Urbana,Mujer,20,1,1,42,si,72
Urbana,Hombre,16,1,1,42,si,42
Urbana,Mujer,14,1,1,42,si,42
Urbana,Mujer,63,6,1,22,no,0
Urbana,Hombre,28,1,2,72,si,72
Urbana,Mujer,26,1,2,77,si,77
Urbana,Hombre,34,2,2,71,no,0
Urbana,Mujer,32,2,2,71,no,0
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,7,1,2,41,si,41
Urbana,Hombre,63,4,1,77,no,0
Urbana,Mujer,69,2,2,23,no,0
Urbana,Hombre,50,2,2,77,no,0
Urbana,Hombre,15,1,2,42,si,42
Urbana,Hombre,8,1,2,41,si,41
Urbana,Hombre,33,2,2,72,si,72
Urbana,Mujer,31,2,2,72,no,0
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,76,2,1,22,no,0
Urbana,Mujer,70,2,1,11,no,0
Urbana,Hombre,67,2,1,22,no,0
Urbana,Mujer,60,2,2,21,no,0
Urbana,Hombre,43,2,1,23,no,0
Urbana,Mujer,53,2,1,21,no,0
Urbana,Mujer,22,1,1,72,si,72
Urbana,Mujer,17,1,1,42,si,42
Urbana,Hombre,11,1,1,41,si,41
Urbana,Hombre,43,2,2,75,si,75
Urbana,Mujer,42,2,2,72,no,0
Urbana,Hombre,15,1,2,42,si,42
Urbana,Hombre,48,2,2,32,no,0
Urbana,Mujer,43,2,2,32,no,0
Urbana,Mujer,16,1,2,42,si,42
Urbana,Hombre,10,1,2,41,si,41
Urbana,Hombre,5,1,2,11,si,13
Urbana,Hombre,38,3,1,72,no,0
Urbana,Mujer,35,3,1,32,no,0
Urbana,Hombre,10,1,2,41,si,41
Urbana,Hombre,7,1,2,13,si,41
Urbana,Mujer,73,6,1,22,no,0
Urbana,Mujer,35,4,2,32,no,0
Urbana,Hombre,35,1,2,32,no,0
Urbana,Hombre,49,3,1,32,no,0
Urbana,Mujer,47,3,1,32,no,0
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,46,3,1,81,no,0
Urbana,Mujer,42,3,1,32,no,0
Urbana,Mujer,22,1,2,72,si,72
Urbana,Hombre,20,1,2,72,si,72
Urbana,Hombre,51,2,1,23,no,0
Urbana,Mujer,45,2,1,23,no,0
Urbana,Hombre,42,2,2,72,no,0
Urbana,Mujer,26,2,2,72,no,0
Urbana,Mujer,0,1,2,0,no,0
Urbana,Hombre,83,2,2,21,no,0
Urbana,Mujer,75,2,2,21,no,0
Urbana,Mujer,42,4,2,32,no,0
Urbana,Mujer,73,6,2,22,no,0
Urbana,Mujer,44,1,2,72,no,0
Urbana,Hombre,37,1,2,32,no,0
Urbana,Hombre,51,3,2,22,no,0
Urbana,Mujer,49,3,2,22,no,0
Urbana,Mujer,17,1,2,42,si,42
Urbana,Mujer,15,1,2,42,si,42
Urbana,Hombre,23,3,2,42,no,0
Urbana,Mujer,22,3,2,42,no,0
Urbana,Mujer,3,1,2,0,no,0
Urbana,Hombre,40,2,2,23,no,0
Urbana,Mujer,40,2,2,23,no,0
Urbana,Hombre,13,1,2,42,si,42
Urbana,Hombre,4,1,2,11,no,0
Urbana,Hombre,25,2,2,42,no,0
Urbana,Mujer,23,2,2,42,no,0
Urbana,Mujer,4,1,2,11,no,0
Urbana,Mujer,2,1,2,0,no,0
Urbana,Hombre,82,2,1,21,no,0
Urbana,Mujer,76,2,1,21,no,0
Urbana,Hombre,44,2,1,32,no,0
Urbana,Mujer,44,2,2,32,no,0
Urbana,Hombre,25,1,2,42,no,0
Urbana,Hombre,26,3,2,32,no,0
Urbana,Mujer,25,3,2,32,no,0
Urbana,Mujer,9,1,2,41,si,41
Urbana,Hombre,6,1,2,13,si,41
Urbana,Mujer,4,1,2,11,si,13
Urbana,Mujer,1,1,2,0,no,0
Urbana,Hombre,22,3,2,42,no,0
Urbana,Mujer,21,3,2,42,no,0
Urbana,Hombre,2,1,2,0,no,0
Urbana,Hombre,20,1,1,42,no,0
Urbana,Hombre,30,2,2,32,no,0
Urbana,Mujer,26,2,2,32,no,0
Urbana,Hombre,5,1,2,11,si,13
Urbana,Mujer,0,1,2,0,no,0
Urbana,Hombre,63,2,1,21,no,0
Urbana,Mujer,59,2,1,21,no,0
Urbana,Hombre,30,1,1,32,no,0
Urbana,Hombre,28,1,1,32,no,0
Urbana,Hombre,26,1,1,32,no,0
Urbana,Mujer,59,6,1,21,no,0
Urbana,Hombre,32,4,2,32,no,0
Urbana,Mujer,12,1,2,41,si,42
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,26,1,2,32,no,0
Urbana,Mujer,7,1,2,41,si,41
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,31,2,1,32,no,0
Urbana,Mujer,27,2,2,32,no,0
Urbana,Hombre,0,1,2,0,no,0
Urbana,Hombre,58,2,2,31,no,0
Urbana,Mujer,53,2,2,22,no,0
Urbana,Hombre,15,1,2,41,si,41
Urbana,Hombre,26,3,2,32,no,0
Urbana,Mujer,22,3,2,42,no,0
Urbana,Mujer,5,1,2,11,no,0
Urbana,Mujer,3,1,2,0,no,0
Urbana,Mujer,1,1,2,0,no,0
Urbana,Mujer,28,1,2,32,no,0
Urbana,Mujer,7,1,2,41,si,41
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,28,3,2,32,no,0
Urbana,Mujer,28,3,2,32,no,0
Urbana,Mujer,4,1,2,11,no,0
Urbana,Mujer,55,6,1,22,no,0
Urbana,Hombre,23,3,2,42,no,0
Urbana,Mujer,20,3,2,42,si,42
Urbana,Hombre,2,1,2,0,no,0
Urbana,Hombre,30,3,2,32,no,0
Urbana,Mujer,27,3,2,32,no,0
Urbana,Mujer,10,1,2,41,si,41
Urbana,Hombre,8,1,2,41,si,41
Urbana,Hombre,5,1,2,11,si,13
Urbana,Hombre,3,1,2,0,no,0
Urbana,Mujer,0,1,2,0,no,0
Urbana,Mujer,56,2,2,23,no,0
Urbana,Hombre,63,2,2,31,no,0
Urbana,Mujer,17,1,2,42,si,42
Urbana,Mujer,45,3,1,21,no,0
Urbana,Mujer,10,1,1,41,si,41
Urbana,Hombre,8,1,1,41,si,41
Urbana,Mujer,57,2,1,21,no,0
Urbana,Hombre,23,1,2,42,no,0
Urbana,Mujer,92,6,1,11,no,0
Urbana,Hombre,88,6,1,21,no,0
Urbana,Hombre,38,2,2,32,no,0
Urbana,Mujer,36,2,2,32,no,0
Urbana,Hombre,8,1,2,41,si,41
Urbana,Mujer,7,1,2,13,si,41
Urbana,Mujer,0,1,2,0,no,0
Urbana,Hombre,55,2,2,23,no,0
Urbana,Mujer,48,2,2,21,no,0
Urbana,Mujer,27,1,2,77,si,77
Urbana,Mujer,5,1,2,13,si,13
Urbana,Mujer,38,4,2,72,no,0
Urbana,Hombre,18,1,2,42,si,81
Urbana,Mujer,3,1,2,0,no,0
Urbana,Mujer,1,1,2,0,no,0
Urbana,Hombre,78,4,1,21,no,0
Urbana,Mujer,98,6,1,11,no,0
Urbana,Hombre,24,3,1,42,no,0
Urbana,Mujer,24,3,1,42,no,0
Urbana,Mujer,6,1,2,13,si,41
Urbana,Hombre,5,1,2,11,no,0
Urbana,Hombre,17,1,2,42,si,42
Urbana,Mujer,35,1,1,32,no,0
Urbana,Hombre,12,1,2,41,si,41
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,39,2,1,32,no,0
Urbana,Mujer,13,1,2,42,si,42
Urbana,Hombre,8,1,2,41,si,41
Urbana,Hombre,30,3,2,32,no,0
Urbana,Mujer,23,3,2,42,no,0
Urbana,Hombre,2,1,2,0,no,0
Urbana,Hombre,42,2,1,21,no,0
Urbana,Mujer,39,2,1,31,no,0
Urbana,Hombre,15,1,1,42,si,42
Urbana,Hombre,13,1,1,41,si,41
Urbana,Mujer,7,1,1,41,si,41
Urbana,Mujer,5,1,1,13,si,13
Urbana,Hombre,46,3,1,21,no,0
Urbana,Mujer,47,3,1,21,no,0
Urbana,Hombre,18,1,1,42,si,42
Urbana,Hombre,16,1,1,41,no,0
Urbana,Mujer,13,1,1,41,si,42
Urbana,Hombre,9,1,1,41,si,41
Urbana,Hombre,42,4,1,23,no,0
Urbana,Hombre,22,3,1,42,no,0
Urbana,Mujer,21,3,3,42,no,0
Urbana,Hombre,26,3,2,32,no,0
Urbana,Mujer,25,3,2,32,no,0
Urbana,Hombre,8,1,2,41,si,41
Urbana,Mujer,5,1,2,13,si,13
Urbana,Mujer,15,1,2,42,si,42
Urbana,Hombre,31,3,2,32,no,0
Urbana,Mujer,43,3,2,31,no,0
Urbana,Hombre,19,1,2,42,no,0
Urbana,Mujer,15,1,2,42,si,42
Urbana,Mujer,22,1,2,42,si,72
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,32,3,2,32,no,0
Urbana,Mujer,27,3,2,32,no,0
Urbana,Hombre,29,1,2,72,no,0
Urbana,Hombre,33,3,2,72,no,0
Urbana,Mujer,59,3,1,21,no,0
Urbana,Hombre,55,3,2,21,no,0
Urbana,Hombre,84,2,1,11,no,0
Urbana,Mujer,82,2,2,11,no,0
Urbana,Hombre,66,2,2,23,no,0
Urbana,Mujer,62,2,2,21,no,0
Urbana,Mujer,2,1,2,0,no,0
Urbana,Mujer,62,4,2,21,no,0
Urbana,Hombre,31,1,2,32,no,0
Urbana,Hombre,26,1,2,32,no,0
Urbana,Mujer,24,1,2,42,no,0
Urbana,Hombre,0,1,2,0,no,0
Urbana,Hombre,1,1,2,0,no,0
Urbana,Mujer,84,6,2,21,no,0
Urbana,Hombre,68,2,2,74,no,0
Urbana,Mujer,52,2,1,23,no,0
Urbana,Hombre,23,1,2,72,si,72
Rural,Hombre,86,6,1,11,no,0
Rural,Hombre,75,2,1,22,no,0
Rural,Mujer,68,2,1,21,no,0
Rural,Hombre,57,2,1,21,no,0
Rural,Mujer,56,2,1,21,no,0
Rural,Mujer,17,1,1,42,si,42
Rural,Hombre,13,1,1,42,si,42
Rural,Mujer,9,1,1,41,si,41
Rural,Hombre,25,3,1,42,no,0
Rural,Mujer,24,3,2,42,no,0
Rural,Hombre,65,2,2,21,no,0
Rural,Mujer,66,2,2,21,no,0
Rural,Hombre,12,1,2,41,si,41
Rural,Hombre,42,2,2,22,no,0
Rural,Mujer,35,2,2,31,no,0
Rural,Mujer,13,1,2,41,si,42
Rural,Mujer,10,1,2,41,si,41
Rural,Hombre,2,1,2,0,no,0
Rural,Mujer,83,6,2,12,no,0
Rural,Hombre,76,2,2,21,no,0
Rural,Mujer,66,2,2,21,no,0
Rural,Hombre,69,2,2,21,no,0
Rural,Mujer,69,2,2,21,no,0
Rural,Mujer,30,1,2,31,no,0
Rural,Hombre,53,2,2,22,no,0
Rural,Mujer,57,2,2,23,no,0
Rural,Hombre,27,1,2,11,no,0
Rural,Mujer,22,1,2,42,no,0
Rural,Mujer,17,1,2,42,si,42
Rural,Hombre,13,1,2,42,si,42
Rural,Mujer,59,2,2,21,no,0
Rural,Mujer,60,6,2,21,no,0
Rural,Hombre,42,2,2,32,no,0
Rural,Hombre,39,1,2,32,no,0
Rural,Mujer,36,1,2,32,no,0
Rural,Mujer,33,1,2,32,no,0
Rural,Hombre,57,2,2,23,no,0
Rural,Mujer,60,2,2,21,no,0
Rural,Hombre,32,3,2,32,no,0
Rural,Mujer,35,3,2,32,no,0
Rural,Hombre,29,1,2,71,no,0
Rural,Hombre,23,3,1,42,no,0
Rural,Mujer,20,3,1,42,no,0
Rural,Hombre,4,1,1,11,no,0
Rural,Mujer,0,1,1,0,no,0
Rural,Mujer,19,3,2,42,no,0
Rural,Hombre,20,3,2,42,no,0
Rural,Hombre,40,2,1,71,no,0
Rural,Mujer,45,4,2,23,no,0
Rural,Hombre,20,1,2,42,no,0
Rural,Mujer,18,1,2,72,si,72
Rural,Hombre,73,2,1,22,no,0
Rural,Mujer,72,2,1,21,no,0
Rural,Hombre,49,2,1,23,no,0
Rural,Mujer,43,2,1,22,no,0
Rural,Hombre,16,1,1,42,si,42
Rural,Mujer,13,1,1,42,si,42
Rural,Mujer,8,1,1,41,si,41
Rural,Hombre,6,1,1,13,si,41
Rural,Hombre,30,2,1,32,no,0
Rural,Mujer,27,2,1,32,no,0
Rural,Mujer,8,1,1,41,si,41
Rural,Hombre,3,1,2,0,no,0
Rural,Hombre,42,2,1,23,no,0
Rural,Mujer,40,2,1,23,no,0
Rural,Hombre,16,1,1,42,si,42
Rural,Hombre,14,1,1,42,si,42
Rural,Mujer,12,1,1,41,si,41
Rural,Hombre,9,1,1,41,si,41
Rural,Hombre,24,3,1,42,no,0
Rural,Mujer,21,3,1,42,no,0
Rural,Mujer,1,1,2,0,no,0
Rural,Hombre,66,2,1,21,no,0
Rural,Mujer,65,2,1,21,no,0
Rural,Hombre,46,2,1,23,no,0
Rural,Mujer,46,2,1,21,no,0
Rural,Hombre,13,1,1,42,si,42
Rural,Hombre,9,1,1,41,si,41
Rural,Hombre,39,2,1,32,no,0
Rural,Mujer,39,2,1,32,no,0
Rural,Mujer,18,1,1,42,si,42
Rural,Hombre,15,1,1,42,si,42
Rural,Hombre,50,2,2,22,no,0
Rural,Mujer,45,2,2,22,no,0
